RCV_PROJECT,RECEIVER,ACTIVATION_YEAR,ACTIVATION_MONTH,ACTIVATION_DAY,ACTIVATION_TIME,STATION_NAME,DEPLOY_YEAR,DEPLOY_MONTH,DEPLOY_DAY,DEPLOY_TIME,DEPLOY_LAT,DEPLOY_LONG,VALID_DATA_UNTIL_YEAR,VALID_DATA_UNTIL_MONTH,VALID_DATA_UNTIL_DAY,VALID_DATA_UNTIL_TIME,RECOVER_YEAR,RECOVER_MONTH,RECOVER_DAY,RECOVER_TIME,ACOUSTIC_RELEASE_NUMBER,SPECIES_PREFERENCES,ADDITIONAL_CLASSIFIER,AMPLIFIER_SENSIVITY,HYDROPHONE_SENSIVITY,RECORDING_NAME,HYDROPHONE_CABLE_LENGTH,SAMPLE_RATE,MOORING_TYPE,BATTERY_END_YEAR,BATTERY_END_MONTH,BATTERY_END_DAY,DOWNLOAD_YEAR,DOWNLOAD_MONTH,DOWNLOAD_DAY,DOWNLOAD_TIME,COMMENTS,,,ACTIVATION_DATE_TIME,DEPLOY_DATE_TIME,VALID_DATA_UNTIL_DATE_TIME,RECOVER_DATE_TIME,BATTERY_END_DATE,DOWNLOAD_DATE_TIME
123456789,1069,2022,4,29,8:43:00,KF1,2022,6,5,9:44:00,55.68257,10.93378,2022,12,10,9:00:00,2022,12,10,9:00:00,12345,,,,,KF1O,2,,bottom-mooring,2022,12,10,2022,12,10,9:00:00,,,,4/29/2022 8:43,6/5/2022 9:44,12/10/2022 9:00,12/10/2022 9:00,12/10/2022 9:00,12/10/2022 9:00
123456789,3565,2022,7,10,9:02:00,KF2,2022,10,14,9:00:00,55.68257,10.93378,2023,3,24,0:00:00,2023,3,24,0:00:00,12345,,,,,KF1P,2,,bottom-mooring,2023,3,24,2023,3,24,0:00:00,,,,7/10/2022 9:02,10/14/2022 9:00,3/24/2023 0:00,3/24/2023 0:00,3/24/2023 0:00,3/24/2023 0:00
123456789,912,2022,4,29,8:43:00,KF2,2022,6,5,10:48:00,55.68079,10.98065,2022,9,23,0:00:00,2022,9,23,0:00:00,1623,,,,,KF2O,2,,bottom-mooring,2022,9,23,2022,10,13,9:00:00,,,,4/29/2022 8:43,6/5/2022 10:48,9/23/2022 0:00,9/23/2022 0:00,9/23/2022 0:00,10/13/2022 9:00
123456789,1691,2022,7,10,9:02:00,KF2,2022,12,10,8:13:00,55.68079,10.98065,2023,4,16,0:00:00,2023,4,16,0:00:00,2883,,,,,KF2P,2,,bottom-mooring,2023,4,16,2023,4,16,0:00:00,,,,7/10/2022 9:02,12/10/2022 8:13,4/16/2023 0:00,4/16/2023 0:00,4/16/2023 0:00,4/16/2023 0:00
123456789,1778,2022,4,29,8:53:00,KF3,2022,6,5,11:01:00,55.68169,11.02863,2022,12,10,0:00:00,2022,12,10,0:00:00,442,,,,,KF3O,2,,bottom-mooring,2022,12,10,2022,12,10,0:00:00,,,,4/29/2022 8:53,6/5/2022 11:01,12/10/2022 0:00,12/10/2022 0:00,12/10/2022 0:00,12/10/2022 0:00
123456789,1984,2022,7,10,9:17:00,KF3,2022,12,10,8:29:00,55.68169,11.02863,2023,5,15,0:00:00,2023,5,15,0:00:00,3044,,,,,KF3P,2,,bottom-mooring,2023,5,15,2023,5,15,0:00:00,,,,7/10/2022 9:17,12/10/2022 8:29,5/15/2023 0:00,5/15/2023 0:00,5/15/2023 0:00,5/15/2023 0:00
123456789,1598,2022,4,29,9:23:00,KF4,2022,6,5,10:09:00,55.70905,10.91136,2022,12,10,10:23:00,2022,12,10,10:23:00,1233,,,,,KF4O,2,,bottom-mooring,2022,12,10,2022,10,13,9:00:00,,,,4/29/2022 9:23,6/5/2022 10:09,12/10/2022 10:23,12/10/2022 10:23,12/10/2022 10:23,10/13/2022 9:00
123456789,3550,2022,6,10,12:36:00,KF4,2022,12,10,10:22:00,55.70905,10.91136,2023,8,3,0:00:00,2023,8,3,0:00:00,1105,,,,,KF4P,2,,bottom-mooring,2023,8,3,2023,8,3,0:00:00,,,,6/10/2022 12:36,12/10/2022 10:22,8/3/2023 0:00,8/3/2023 0:00,8/3/2023 0:00,8/3/2023 0:00
123456789,1595,2022,4,29,9:14:00,KF5,2022,6,5,10:26:00,55.70954,10.96002,2022,12,10,10:41:00,2022,12,10,10:41:00,1790,,,,,KF5O,2,,bottom-mooring,2022,12,10,2022,10,13,9:00:00,,,,4/29/2022 9:14,6/5/2022 10:26,12/10/2022 10:41,12/10/2022 10:41,12/10/2022 10:41,10/13/2022 9:00
123456789,3557,2022,7,10,8:20:00,KF5,2022,12,10,10:52:00,55.70954,10.96002,2023,10,4,0:00:00,2023,10,4,0:00:00,97,,,,,KF5P,2,,bottom-mooring,2023,10,4,2023,9,5,12:22:00,,,,7/10/2022 8:20,12/10/2022 10:52,10/4/2023 0:00,10/4/2023 0:00,10/4/2023 0:00,9/5/2023 12:22
